Fold,vae_train_MAE,vae_val_MAE,vae_train_MSE,vae_val_MSE,vae_MAE,vae_DES,vae_PDS
1,0.35238116979599,0.352733850479126,0.2881642282009125,0.2887427806854248,0.2105655793348948,0.02648824280972834,0.5151111111111111
2,0.3277328610420227,0.3280196189880371,0.24858598411083221,0.24894757568836212,0.16173286676406862,0.03018338038809706,0.5160444444444444
3,0.35520511865615845,0.35437363386154175,0.2945973873138428,0.2934319078922272,0.21227623542149862,0.025310521125970167,0.5212444444444444
4,0.33705851435661316,0.3370593190193176,0.26460281014442444,0.2647242248058319,0.17201382418473563,0.028804570007286864,0.5194666666666666
5,0.35781604051589966,0.35834625363349915,0.29944226145744324,0.30008119344711304,0.2194631787141164,0.022118650854211382,0.5255555555555557
