Fold,gradientboost_train_MAE,gradientboost_val_MAE,gradientboost_train_MSE,gradientboost_val_MSE,gradientboost_MAE,gradientboost_DES,gradientboost_PDS
1,0.2791104215316817,0.2793848329828301,0.17854737958116945,0.1788674493215723,0.034979546274989844,0.11812250361454041,0.5416444444444445
2,0.27912280947176404,0.27935487429822725,0.17856634765172757,0.17879913785706536,0.035002804653098185,0.1217675195075707,0.5416888888888889
3,0.27917006042011516,0.27907096785281355,0.17862384717906754,0.17857706962800324,0.035637886505573986,0.12394620742335638,0.5431999999999999
4,0.27917700434745674,0.2790896798704054,0.17862095121530433,0.1785693851366995,0.03510245241845648,0.11558733046045208,0.5431555555555556
5,0.27920781408851464,0.2790021870412971,0.17867467222436778,0.17836941277454854,0.034997618415703376,0.12322364608248612,0.5412444444444444
