Fold,baseline_train_MAE,baseline_val_MAE,baseline_train_MSE,baseline_val_MSE,baseline_MAE,baseline_DES,baseline_PDS
1,0.2798740565776825,0.2801525294780731,0.17965665459632874,0.17998485267162323,0.038904466511060797,0.0,0.5049777777777777
2,0.279897540807724,0.2801000475883484,0.17968297004699707,0.17988012731075287,0.038955043014138935,0.0,0.5048444444444444
3,0.2799370586872101,0.2798352539539337,0.17973098158836365,0.1796870082616806,0.03949872637167573,0.0,0.5051999999999999
4,0.2799551784992218,0.27982470393180847,0.17974361777305603,0.17963474988937378,0.039026893749833105,0.0,0.5047555555555556
5,0.2799801230430603,0.27974963188171387,0.1797904670238495,0.17944882810115814,0.038927656654268505,0.0,0.5048
