Fold,elasticnet_train_MAE,elasticnet_val_MAE,elasticnet_train_MSE,elasticnet_val_MSE,elasticnet_MAE,elasticnet_DES,elasticnet_PDS
1,0.2782817591570524,0.2787030903311561,0.17757701458264474,0.17808745721260746,0.02727064285427332,0.2866892957688094,0.7925333333333334
2,0.2782911207904519,0.27867538345533244,0.17759123305306637,0.17802360355897476,0.02733937492594123,0.28860639651621434,0.8014222222222221
3,0.27834840546894934,0.27836418752624853,0.17766028108216397,0.1777649362250844,0.027742588004718224,0.2904620241780499,0.7971555555555555
4,0.278340360414421,0.2784239411689342,0.17764000432699503,0.1778167724414205,0.02738874438529213,0.28813091026434534,0.8061777777777778
5,0.27838314760611205,0.27829960781063,0.17770854849134785,0.177565036967538,0.026933549648771683,0.2917910969794678,0.7961333333333332
