Fold,ridge_train_MAE,ridge_val_MAE,ridge_train_MSE,ridge_val_MSE,ridge_MAE,ridge_DES,ridge_PDS
1,0.2781568461656985,0.2786573369703449,0.17750128563716538,0.17811122553571654,0.027631106954067945,0.03913229983193528,0.8602222222222222
2,0.2781662955808336,0.2786311620579332,0.1775157871076814,0.17804613588807938,0.02760488072410226,0.03759328799090142,0.8663555555555554
3,0.2782235582016626,0.27830871579119126,0.1775848366758062,0.1777715690098639,0.0276115046069026,0.03923055931544285,0.8710666666666667
4,0.2782155453626536,0.27837694834881394,0.17756520710308712,0.17783578213997991,0.027434606483827034,0.03647563682288493,0.8835999999999999
5,0.27825836759735323,0.2782469030954276,0.17763297351575172,0.17757534052570628,0.026916604650517303,0.03840823122969131,0.8651111111111112
