Fold,randomforest_train_MAE,randomforest_val_MAE,randomforest_train_MSE,randomforest_val_MSE,randomforest_MAE,randomforest_DES,randomforest_PDS
1,0.2781620403954544,0.27866125267222924,0.17751659610122006,0.17812337792200608,0.027817715760320424,0.05287661567826911,0.8617333333333332
2,0.27817070541098865,0.2786396129642151,0.17753087896191383,0.17806569965695399,0.028031933326274155,0.05144644815068489,0.8694222222222222
3,0.27823117234505257,0.27831742365560563,0.17760046694627762,0.17778796867307148,0.02789788130049904,0.05434416761144667,0.8720444444444445
4,0.2782166912893068,0.2783770938090737,0.1775805523233785,0.17784914628031834,0.027640819530934096,0.051156228810385077,0.8878222222222223
5,0.2782635763241868,0.2782510455959241,0.17764791449809034,0.1775896649749151,0.027209823944916327,0.053089942900295395,0.8672444444444445
